epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,6420.76,2.32244,5.05909,2.95948,0.93186,0.74506,0.83382,0.50991,2.27508,3.21633,2.57057,3.68225e-05,3.68225e-05,3.68225e-05
69,6548.63,2.3266,5.02155,2.97326,0.92726,0.74956,0.83697,0.52056,2.18839,3.06685,2.49489,3.48136e-05,3.48136e-05,3.48136e-05
70,6675.4,2.30876,5.04177,2.95486,0.91449,0.7493,0.83836,0.53178,2.13257,2.99936,2.46089,3.28443e-05,3.28443e-05,3.28443e-05
71,6795.28,2.31671,5.09156,2.94984,0.91434,0.75874,0.83882,0.52124,2.20665,3.06506,2.49869,3.09167e-05,3.09167e-05,3.09167e-05
72,6878.94,2.27692,4.98077,2.93473,0.92966,0.74575,0.83504,0.52108,2.16418,3.01287,2.46885,2.90326e-05,2.90326e-05,2.90326e-05
73,6957.1,2.28473,4.9539,2.91968,0.91569,0.75596,0.83896,0.54478,2.07661,2.92499,2.40178,2.71938e-05,2.71938e-05,2.71938e-05
74,7033.17,2.29433,4.97062,2.92196,0.94927,0.72796,0.8376,0.54258,2.03787,2.94815,2.38393,2.54022e-05,2.54022e-05,2.54022e-05
75,7111.21,2.28969,4.83942,2.91957,0.9004,0.77296,0.83887,0.53536,2.10881,2.99954,2.43341,2.36596e-05,2.36596e-05,2.36596e-05
76,7203.76,2.26047,4.7953,2.93368,0.91701,0.76004,0.84046,0.5419,2.08763,2.94796,2.43776,2.19676e-05,2.19676e-05,2.19676e-05
77,7280.97,2.2944,4.84974,2.92661,0.92252,0.75488,0.83625,0.54381,2.05815,2.96234,2.40671,2.0328e-05,2.0328e-05,2.0328e-05
78,7356.32,2.28823,4.9045,2.9227,0.92596,0.76645,0.84409,0.54477,2.05344,2.92536,2.40461,1.87423e-05,1.87423e-05,1.87423e-05
79,7432.67,2.28574,4.97691,2.91814,0.90213,0.76941,0.83765,0.54351,2.06131,2.92301,2.40408,1.72122e-05,1.72122e-05,1.72122e-05
80,7509.63,2.25702,4.80005,2.93193,0.93147,0.74733,0.84217,0.53873,2.1079,2.96914,2.44117,1.5739e-05,1.5739e-05,1.5739e-05
81,7601.57,2.27732,4.88273,2.91268,0.9489,0.74886,0.84358,0.54454,2.074,2.92779,2.41922,1.43244e-05,1.43244e-05,1.43244e-05
82,7692.65,2.28613,4.75169,2.9117,0.92801,0.76598,0.84244,0.54795,2.04322,2.89309,2.40805,1.29696e-05,1.29696e-05,1.29696e-05
83,7769.71,2.27055,4.87023,2.89886,0.93912,0.74982,0.84327,0.53973,2.09637,2.90246,2.43878,1.16761e-05,1.16761e-05,1.16761e-05
84,7948.74,2.29956,4.98064,2.93872,0.94271,0.75838,0.84707,0.53067,2.189,2.95126,2.48509,1.0445e-05,1.0445e-05,1.0445e-05
85,8044.86,2.25564,4.84614,2.89627,0.9256,0.75806,0.84363,0.53835,2.11642,2.91716,2.4406,9.2777e-06,9.2777e-06,9.2777e-06
86,8178.48,2.26838,4.78149,2.9043,0.93579,0.75697,0.84257,0.54003,2.08797,2.91951,2.41871,8.17522e-06,8.17522e-06,8.17522e-06
87,8355.8,2.2656,4.83899,2.92828,0.94222,0.75729,0.844,0.53647,2.12309,2.92221,2.44474,7.13869e-06,7.13869e-06,7.13869e-06
88,8562.55,2.2824,4.83694,2.89376,0.9453,0.75102,0.8456,0.54502,2.06605,2.88504,2.4001,6.16912e-06,6.16912e-06,6.16912e-06
89,8709.82,2.25072,4.79979,2.87639,0.93598,0.7651,0.84498,0.5411,2.08682,2.90648,2.41422,5.26749e-06,5.26749e-06,5.26749e-06
90,8859.17,2.26367,4.81482,2.89419,0.92981,0.76298,0.84241,0.53656,2.11601,2.92113,2.43042,4.43467e-06,4.43467e-06,4.43467e-06
91,8996.84,2.27972,4.80488,2.90475,0.91774,0.7727,0.84534,0.53529,2.11728,2.91781,2.43193,3.67149e-06,3.67149e-06,3.67149e-06
92,9075.1,2.28535,4.80062,2.87329,0.92555,0.76641,0.84397,0.53105,2.14594,2.93183,2.44858,2.97871e-06,2.97871e-06,2.97871e-06
93,9153.88,2.27738,4.8143,2.9155,0.92371,0.76496,0.84462,0.53811,2.08824,2.88659,2.41536,2.357e-06,2.357e-06,2.357e-06
94,9239.73,2.25536,4.79445,2.88052,0.91917,0.77142,0.84505,0.53753,2.10917,2.89472,2.42539,1.80698e-06,1.80698e-06,1.80698e-06
95,9317.73,2.25127,4.82344,2.87335,0.93431,0.74918,0.84184,0.53622,2.10832,2.89158,2.4244,1.3292e-06,1.3292e-06,1.3292e-06
96,9396.63,2.26482,4.79872,2.92154,0.90976,0.76927,0.84092,0.53602,2.1107,2.89658,2.42656,9.2412e-07,9.2412e-07,9.2412e-07
97,9475.32,2.27859,4.88834,2.89316,0.91202,0.77091,0.84333,0.53457,2.12218,2.91307,2.43631,5.92144e-07,5.92144e-07,5.92144e-07
98,9552.67,2.27641,4.92171,2.90664,0.91725,0.76776,0.8435,0.53733,2.10486,2.8965,2.42535,3.33601e-07,3.33601e-07,3.33601e-07
99,9630.8,2.27155,4.86848,2.9004,0.9349,0.75055,0.83813,0.53404,2.11449,2.91074,2.43162,1.48745e-07,1.48745e-07,1.48745e-07
100,9709.87,2.28261,4.86966,2.89607,0.9193,0.76475,0.84223,0.53544,2.12057,2.90282,2.43331,3.77578e-08,3.77578e-08,3.77578e-08
